Height(cm),Weight(kg),Class
164.08472448062165,50.906790746104335,Underweight
162.299133535788,69.27038479262654,Normal
166.03280394580827,89.23587444265618,Overweight
175.88442218064435,67.42049018636372,Normal
176.8141631470423,68.85005824965872,Normal
180.5386244684511,84.0702031583978,Overweight
157.74502078720343,46.9242848091674,Underweight
168.89097960522628,70.71671972914699,Normal
154.21804125243304,55.956514480764994,Underweight
167.10446855782547,63.629718436898564,Normal
171.81167728121352,82.2186145903011,Overweight
161.01720662786445,52.08543573171027,Underweight
167.53295343934533,90.41900545030555,Overweight
161.21521756716118,57.499162685980735,Underweight
151.98335797846877,59.47717192367854,Underweight
171.33392000943758,70.91290092577128,Normal
157.68010045334614,58.489886926603866,Underweight
167.18825788440108,72.8132552172219,Normal
157.3421056968414,60.0236875374849,Underweight
167.7454004486107,69.29138107363387,Normal
174.67324671640188,84.70585292341968,Overweight
159.94610555687603,62.654241725284024,Underweight
176.001961514746,96.25086403818688,Overweight
168.35713870094315,58.12581544359125,Underweight
165.9241124205252,66.63227682241427,Normal
161.80682965094587,62.9636574363919,Underweight
173.98034708456058,84.16231779237023,Overweight
153.86461657254378,58.24355606771714,Underweight
175.38251161545287,84.69894490155798,Overweight
179.3220714108819,96.83958410216694,Overweight
159.48586304133528,66.91255902878228,Normal
188.47592541859666,84.2193548248987,Overweight
172.43748965070412,85.87054460857944,Overweight
160.94944913133097,54.4995072368211,Underweight
171.45488728452023,73.0542144777422,Normal
155.1654130851605,60.403649548848946,Underweight
165.78244707012678,48.324324110844564,Underweight
158.46514326560495,56.11078569998022,Underweight
174.60406952405657,92.5926327724097,Overweight
179.5491292785509,81.26289004363545,Overweight
156.2018786546893,49.35552652311076,Underweight
178.53579583991774,83.1486430072168,Overweight
181.93316061060858,85.66030562293648,Overweight
166.0077582720072,73.99769918950743,Normal
158.38339633337836,55.46406471569268,Underweight
174.59690116346712,86.13027611862047,Overweight
176.32344043245718,89.02096199174483,Overweight
